AC_SERIAL,FAULT_DATE,FAULT_LINE_TEXT,FAULT_ID,ACTION_DATE,ACTION_TEXT,REMOVED_PART_NUMBER,REMOVED_PART_SERIAL,INSTALLED_PART_NUMBER,INSTALLED_PART_SERIAL,WDC,WDC Description,TMC ,TMC Description,ATC,ATC Description,HMC,HMC Description
929107.0,2009-11-30,HUMS RECORDED TAIL ROTOR VIBS TREND INCREASING (#4 TRB PIVOT BEARINGRETAINER DISBONDED)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,37946.0,2009-11-30,TAIL ROTOR BLADE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
929107.0,2009-11-30,HUMS RECORDED TAIL ROTOR VIBS TREND INCREASING (#4 TRB PIVOT BEARINGRETAINER DISBONDED)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,37946.0,2009-11-30,Removed: 00012-90147-510  0066-11A13  Installed: 17009-21001-604  11A0-15130,00012-90147-510     ,0066-11A13     ,17009-21001-604     ,11A0-15130     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
628724.0,2010-12-20,HUMS REPORTED ELEVATED TR VIBES.,38416.0,2010-12-20,TR PIVOT BEARINGS CHECKED. NO FAULT FOUND. T/R BALANCED TO .050 IPS.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
628724.0,2011-01-09,HUMS REPORTED ELEVATED TR VIBES.,38480.0,2010-12-20,T/R PIVOT BEARINGS CHECKED. NO FAULT FOUND. T/R BALANCED TO .050 IPS.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
929107.0,2010-01-13,HUMS REPORTS ELEVATED TR VIBRATION (.218)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,38127.0,2010-01-13,"TAIL ROTOR BALANCE COMPLETED (#2 BLADE REMOVED 16GR, #1 BLADE REMOVED4 GR)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
841501.0,2010-05-26,HUMS ROT TUNING INDICATES HIGH M/R VIB.,37805.0,2010-05-26,ROTOR TUNING SOLUTIONS CARRIED OUT. REF. WSP 3035254.,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
841501.0,2010-05-26,HUMS ROT TUNING INDICATES HIGH M/R VIB.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,37801.0,2010-05-26,ROTOR TUNING SOLUTIONS CARRIED OUT. REF. WSP 3035254.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
215297.0,2008-12-26,HYD FAN DEGRADED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,38097.0,2008-12-26,DEFERRED TO LOGPAGE 0075                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
929107.0,2010-02-25,HYD FLUID LEAKING FROM NLG RETRACT ACTUATOR VENT HOLE.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,38344.0,2010-02-25,LANDING GEAR CHECKED AS PER AMM 32-13-01-220-001. NO LEAKS. WSP 3033410.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,381,"LEAKING, INTERNAL OR EXTERNAL"
537340.0,2009-05-17,IBIT TEST REQUIRED,38647.0,2009-05-17,IBIT TEST COMPLETED,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
841501.0,2011-03-20,IC REQUIRED FOR ASB 92-62-004A.,38495.0,2011-03-20,IC C/O FOR INSTALLATION OF ASB 92-62-004A. (LPCC HARDWARE),,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
841501.0,2011-03-20,IC REQUIRED FOR ASB 92-62-004A.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38493.0,2011-03-20,IC C/O FOR INSTALLATION OF ASB 92-62-004A. (LPCC HARDWARE)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
215297.0,2009-01-28,IDS #1 SYSTEM U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38258.0,2009-01-28,AIRCRAFT GROUND RUN AND RIPS IBIT C/O OPERATIONAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
601283.0,2007-10-02,IFE SYSTEM U/S IR CONTROLLER FOR MOD                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38341.0,2007-10-02,IR CONTROLLER REMOVED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,G,"REPAIR OF MINOR PARTS, H/W OR S/W",242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
387821.0,2006-12-07,IFE WON'T PLAY CONTINUOUS STOPS AFTER EACH SONG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,38373.0,2006-12-07,IFE MP3 PLAYER GROUND CHECKED SERVICEABLE MP3 PLAYER MUST BE SET TOPLAY WHOLE LIST                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
628724.0,2010-10-16,IGB INPUT SEAL LEAKING                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,38083.0,2010-10-16,IGB INPUT SEAL AND SLEEVE REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,381,"LEAKING, INTERNAL OR EXTERNAL"
929107.0,2010-04-26,IGB O/P SEAL & TGB I/P SEAL LEAKING.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,38637.0,2010-04-26,IGB O/P SEAL & TGB I/P SEAL REPLACED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,381,"LEAKING, INTERNAL OR EXTERNAL"
628724.0,2010-12-11,INBOARD HOIST U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38355.0,2010-12-11,Removed: 59800-05080-222  0HI-1C0  Installed: 05802-65921-080  4047-024B0,59800-05080-222     ,0HI-1C0        ,05802-65921-080     ,4047-024B0     ,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
628724.0,2010-12-11,INBOARD HOIST U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,38355.0,2010-12-11,DUAL HOIST ASSY REMOVED AND SINGLE HOIST ASSY INSTALLED. WSP 3042060.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
537340.0,2009-05-06,INBOARD RESCUE HOIST INTERMITTENT OVERTEMP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38604.0,2009-05-06,Removed: 50549-00821-802  6414-070B2  Installed: 50549-00821-802  0474-00B47,50549-00821-802     ,6414-070B2     ,50549-00821-802     ,0474-00B47     ,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
537340.0,2009-05-06,INBOARD RESCUE HOIST INTERMITTENT OVERTEMP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,38604.0,2009-05-06,HOIST OPERATOR PANEL REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,290,FAILS DIAGNOSTIC/AUTOMATIC TEST (PUT FAULT CODE IN NARRATIVE
593535.0,2011-08-13,INLET #2 ANTI ICE FAIL.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,38134.0,2011-08-13,Removed: 30304-20698-002  06B0-01543  Installed: 82290-31300-024  693B-04500,30304-20698-002     ,06B0-01543     ,82290-31300-024     ,693B-04500     ,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
593535.0,2011-08-13,INLET #2 ANTI ICE FAIL.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,38134.0,2011-08-13,E#2 ENGINE INLET REPLACED. WSP 1348465.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,,,,,D,INFLIGHT; EQ OP - NO DOWNTIME,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,644,BUILT-IN-TEST/AUTOTEST/DIAG INDICATED FAULT
537340.0,2009-04-25,INNER RESCUE HOIST U/S                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,38547.0,2009-04-25,INBOARD REMOTE POWER CONTROLLER REPLACED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
387821.0,2007-02-06,INPUT #1 CHIP LIGHT SHORT DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38684.0,2007-02-06,Installed: 00351-13813-780  ,,,00351-13813-780,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
387821.0,2007-02-06,INPUT #1 CHIP LIGHT SHORT DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38684.0,2007-02-06,Installed: 848821-2-3M3  ,,,848821-2-3M3        ,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
387821.0,2007-02-06,INPUT #1 CHIP LIGHT SHORT DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38684.0,2007-02-06,"CHIP DETECTOR REMOVED,CLEANED,AND RE-INSTALLED. MGB FILTERS REPLACED30 MIN GROUND RUN & HOVER CHK REQUIRED                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ",,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,R,REMOVE AND REPLACE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
387821.0,2007-02-06,INPUT #1 CHIP LIGHT SHORT DURATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,38684.0,2007-02-06,Installed: 848821-2-3M3  ,,,848821-2-3M3,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,Q,INSTALLED,799,NO DEFECT
593535.0,2011-06-15,INPUT 2 CHIP LIGHT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,37926.0,2011-06-15,CHIP DETECTOR INSPECTED AND SERVICEABILITY CHECK C/O. WSP 1347019.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,,,,,F,BETWEEN FLT; UNSCHEDULED MAINT,B,UNSCHEDULED MAINTENANCE,X,TEST - INSPECT - SERVICE,242,"FAILED TO OPERATE, SPECIFIC REASON UNKNOWN"
